,category,correct_answer,difficulty,incorrect_answers,question,type
0,Entertainment: Film,Sean Connery,medium,"['Dennis Quaid', 'Pete Postlethwaite', 'Brian Thompson']",Who voiced the character Draco in the 1996 movie &#039;DragonHeart&#039;?,multiple
1,Entertainment: Film,True,easy,['False'],The movie &quot;The Nightmare before Christmas&quot; was all done with physical objects.,boolean
2,General Knowledge,Harry,hard,"['Gus', 'Phineas', 'Ezra']",Disney&#039;s Haunted Mansion is home to a trio of Hitchhiking Ghosts. Which of these is NOT one of them?,multiple
3,Science & Nature,Water,easy,"['Deserts', 'Continents', 'Forests']",71% of the Earth&#039;s surface is made up of,multiple
4,Entertainment: Music,True,easy,['False'],Stevie Wonder&#039;s real name is Stevland Hardaway Morris.,boolean
5,Science: Computers,Kibibyte,hard,"['Kylobyte', 'Kilobyte', 'Kelobyte']",What does the International System of Quantities refer 1024 bytes as?,multiple
6,Entertainment: Japanese Anime & Manga,1890,medium,"['1888', '1999', '2003']",What year does Part 7 of &quot;JoJo&#039;s Bizarre Adventure&quot; take place in?,multiple
7,Politics,Julius,medium,"['Donald Jr.', 'Ivanka', 'Eric']",Which of these is NOT one of Donald Trump&#039;s children?,multiple
8,Entertainment: Video Games,2009,easy,"['2010', '2003', '2001']",In which year was League of Legends released?,multiple
9,Entertainment: Video Games,Hideo Kojima,easy,"['Hiroshi Yamauchi', 'Shigeru Miyamoto', 'Gunpei Yokoi']",Who created the &quot;Metal Gear&quot; Series?,multiple
